"cat","tokens","time_adv","proportion"
"R 214",37704,140,3.71313388499894
"R 215",37278,121,3.24588228982242
"R 216",36384,105,2.88588390501319
"R 217",36566,125,3.41847618005798
"R 218",37368,126,3.3718689788054
"R 219",37075,124,3.34457181389076
"R 220",36102,112,3.10232120104149
"R 221",36583,114,3.1162015143646
"R 222",37784,149,3.94346813466017
"R 223",37002,112,3.0268634127885
"R 224",36973,119,3.21856489870987
"R 225",36471,123,3.37254256806778
"R 226",35889,114,3.17646075399147
"R 227",35801,124,3.46359040250272
"R 228",35939,133,3.70071510058711
"R 229",37778,129,3.41468579596591
"R 230",35494,112,3.15546289513721
"R 231",36347,132,3.63166148512945
"R 232",38511,123,3.1938926540469
"R 233",36603,126,3.44234079173838
"R 234",37544,110,2.92989558917537
"R 235",36119,121,3.35003737645007
"R 236",36954,121,3.27434107268496
"R 237",35295,114,3.2299192520187
"R 238",37563,109,2.90179165668344
"R 239",37851,140,3.69871337613273
"R 240",36532,124,3.3942844629366
"R 241",37037,132,3.56400356400356
"R 242",38232,119,3.11257585268885
"R 243",38129,117,3.06853051483123
"R 244",37732,125,3.31283790946677
"R 245",38552,135,3.50176385142146
"R 246",36306,106,2.91962760976147
"R 247",36764,133,3.61766945925362
"R 248",36449,144,3.95072567148619
"R 249",36234,133,3.67058563779875
"R 250",35914,137,3.81466837445008
"R 251",37086,106,2.85822143126786
"R 252",36167,130,3.5944369176321
"R 253",37160,122,3.28310010764263
"R 254",37591,141,3.75089782128701
"R 255",36535,88,2.40864924045436
"R 256",36433,121,3.32116487799522
"R 257",36212,116,3.20335800287198
"R 258",36858,108,2.93016441478105
"R 259",35985,108,3.00125052105044
"R 260",36740,156,4.24605334784976
"R 261",37297,117,3.13698152666434
"R 262",37625,135,3.58803986710963
"R 263",36614,106,2.89506746053422
"R 264",37150,108,2.907133243607
"R 265",36413,145,3.98209430697828
"R 266",37379,121,3.23711174723775
"R 267",37683,135,3.58251731550036
"R 268",36511,140,3.83446084741585
"R 269",37494,104,2.77377713767536
"R 270",37515,129,3.43862455017993
"R 271",37267,132,3.54200767434996
"R 272",37597,116,3.08535255472511
"R 273",36472,116,3.18052204430796
"R 274",36141,106,2.93295702941258
"R 275",37720,126,3.34040296924708
"R 276",36045,113,3.13497017616868
"R 277",34626,132,3.81216426962398
"R 278",37167,128,3.44391530120806
"R 279",37414,114,3.04698775859304
"R 280",37356,153,4.09572759396081
"R 281",38393,126,3.28184825358789
"R 282",37528,127,3.38413984225112
"R 283",36149,124,3.43024703311295
"R 284",36516,143,3.91609157629532
"R 285",38627,136,3.52085328915008
"R 286",38427,131,3.4090613370807
"R 287",36290,112,3.08624965555249
"R 288",36345,114,3.13660751134957
"R 289",37063,144,3.88527642122872
"R 290",37958,146,3.84635649928869
"R 291",36076,123,3.40946889899102
"R 292",38126,124,3.2523737082306
"R 293",37306,142,3.80635822655873
"R 294",36820,104,2.82455187398153
"R 295",35940,123,3.42237061769616
"R 296",37191,128,3.44169288268667
"R 297",37974,132,3.47606256912624
"R 298",36727,113,3.07675552046179
"R 299",36592,111,3.03344993441189
"R 300",36719,118,3.21359514147989
"R 301",36967,131,3.54370113885357
"R 302",36611,143,3.90592991177515
"R 303",36532,124,3.3942844629366
"R 304",36940,136,3.6816459122902
"R 305",37678,113,2.99909761664632
"R 306",37200,133,3.5752688172043
"R 307",38075,120,3.15167432698621
"R 308",37237,122,3.27631119585359
"R 309",35965,137,3.80925900180731
"R 310",35979,135,3.75218877678646
"R 311",39161,125,3.19195117591481
"R 312",35955,124,3.44875538868029
"R 313",35940,112,3.11630495269894
"R 314",38109,133,3.48998924138655
"R 315",38034,133,3.49687122048693
